time, magnitude, latitude, longitude, depth
2005-10-14T03:36:45.970Z,5.5,-23.713,-176.024,33.9
1998-04-23T08:53:12.660Z,5.4,-17.69,-173.299,33.0
2006-07-17T22:31:49.110Z,5.3,-17.669,-173.257,35.0
1998-04-23T08:53:12.660Z,5.4,-17.69,-173.299,33.0
2014-09-13T18:22:14.020Z,5.4,-17.712,-173.126,11.0
1998-05-01T12:08:43.350Z,5.3,-55.949,-26.707,33.0
2005-10-03T11:26:37.730Z,5.1,-56.021,-26.659,51.3
1998-05-09T11:42:11.640Z,5.4,13.621,-90.724,33.0
2003-01-21T07:06:53.200Z,5.4,13.563,-90.858,33.0
1998-05-14T20:03:17.660Z,5.2,-20.119,169.276,49.2
2004-02-15T00:01:30.710Z,5.2,-20.033,169.226,46.6
1998-05-14T20:03:17.660Z,5.2,-20.119,169.276,49.2
2008-07-10T16:01:06.490Z,5.1,-20.081,169.205,69.5
1998-05-14T20:03:17.660Z,5.2,-20.119,169.276,49.2
2011-10-16T04:24:45.080Z,5.1,-20.04,169.144,81.1
1998-05-14T20:03:17.660Z,5.2,-20.119,169.276,49.2
2015-10-17T21:02:30.450Z,5.3,-20.114,169.226,43.4
1998-05-23T15:44:37.710Z,5.2,-6.283,154.943,33.0
2015-05-25T04:48:21.710Z,5.4,-6.419,155.003,44.0
1998-06-21T08:03:54.240Z,5.2,12.853,-88.463,69.6
2005-03-10T13:37:48.780Z,5.1,12.932,-88.419,68.5
1998-06-21T08:03:54.240Z,5.2,12.853,-88.463,69.6
2009-07-05T10:35:50.900Z,5.0,12.85,-88.497,62.1
1998-06-24T18:14:44.940Z,5.0,-30.61,-178.107,150.0
2011-07-19T02:20:35.650Z,5.3,-30.715,-177.82,17.4
1998-08-17T12:43:39.840Z,5.4,-7.58,107.199,76.6
2010-08-11T19:10:21.430Z,5.3,-7.495,107.058,37.4
1998-08-19T06:55:11.050Z,5.2,-3.998,151.58,33.0
2002-02-09T22:50:47.810Z,5.3,-3.734,151.305,10.0
1998-08-24T04:56:16.460Z,5.2,-4.449,102.597,34.1
2012-07-18T04:33:59.330Z,5.3,-4.381,102.794,63.9
1998-09-20T06:30:46.630Z,5.5,-35.63,-179.844,52.9
2015-07-07T05:35:14.530Z,5.6,-35.425,-179.621,10.0
1998-10-08T21:23:27.030Z,5.2,-4.877,103.104,33.0
2004-10-09T08:17:07.370Z,5.0,-4.885,103.1,61.9
1998-10-08T21:23:27.030Z,5.2,-4.877,103.104,33.0
2009-10-31T22:50:03.660Z,5.0,-5.003,102.979,67.5
1998-10-16T07:26:46.890Z,5.0,-33.769,-72.214,33.0
2010-09-20T05:42:56.690Z,5.1,-33.643,-71.928,30.4
1998-10-28T21:39:52.970Z,5.4,11.985,143.528,33.0
2010-11-24T11:59:40.610Z,5.2,11.966,143.576,35.0
1998-10-30T14:34:50.840Z,5.3,-16.197,167.941,176.4
2017-06-17T16:37:22.760Z,5.0,-16.216,167.869,176.7
1998-12-07T09:01:18.050Z,5.2,29.289,130.332,42.3
2008-08-02T04:03:27.700Z,5.1,29.355,130.284,54.7
1998-12-07T15:53:29.550Z,5.2,-5.157,102.957,49.1
2017-01-12T13:29:06.300Z,5.5,-5.267,102.724,22.9
1999-01-26T07:04:20.900Z,5.2,-21.1,-174.486,33.0
2003-07-04T01:15:56.550Z,5.3,-20.962,-174.541,33.0
1999-01-26T07:04:20.900Z,5.2,-21.1,-174.486,33.0
2008-02-22T15:26:51.360Z,5.1,-20.993,-174.527,35.0
1999-01-26T07:04:20.900Z,5.2,-21.1,-174.486,33.0
2013-06-19T09:39:33.960Z,5.1,-21.022,-174.438,41.5
1999-01-26T07:04:20.900Z,5.2,-21.1,-174.486,33.0
2017-07-05T23:29:45.290Z,5.1,-20.881,-174.382,35.0
1999-02-01T16:35:31.140Z,5.2,-6.474,104.721,33.0
2010-08-02T23:13:29.800Z,5.4,-6.498,104.618,41.7
1999-02-09T00:19:37.140Z,5.1,42.328,142.983,59.1
2004-09-10T04:22:10.110Z,5.0,42.392,142.954,51.8
1999-02-09T00:19:37.140Z,5.1,42.328,142.983,59.1
2010-01-14T18:46:25.100Z,5.0,42.338,142.991,60.1
1999-02-20T10:50:12.750Z,5.3,35.38,142.094,33.0
2013-12-23T09:25:12.290Z,5.1,35.503,142.302,17.4
1999-02-25T08:41:17.740Z,5.1,52.228,173.962,33.0
2013-09-21T22:58:22.800Z,5.1,52.279,173.781,25.4
1999-04-25T12:27:05.270Z,5.3,36.441,140.473,81.7
2008-03-07T16:54:57.170Z,5.2,36.453,140.612,57.0
1999-04-25T12:27:05.270Z,5.3,36.441,140.473,81.7
2016-07-27T14:47:17.010Z,5.3,36.492,140.758,46.0
1999-05-09T00:35:02.990Z,5.2,-16.102,-172.961,33.0
2008-01-13T11:16:40.530Z,5.2,-16.057,-172.937,36.6
1999-05-30T04:41:36.280Z,5.0,-5.424,152.411,56.7
2006-08-02T23:44:24.160Z,5.0,-5.463,152.479,37.8
1999-06-27T14:01:39.150Z,5.2,-20.105,-173.692,33.0
2005-04-30T08:28:37.570Z,5.0,-19.99,-173.68,10.0
1999-06-27T14:01:39.150Z,5.2,-20.105,-173.692,33.0
2012-08-22T10:13:57.470Z,5.1,-20.038,-173.661,35.0
1999-07-26T21:22:01.970Z,5.1,49.255,156.275,33.0
2012-02-29T01:22:52.650Z,5.0,49.282,156.2,46.8
1999-08-01T20:10:54.380Z,5.3,52.303,-173.381,51.1
2009-04-21T08:37:28.080Z,5.2,52.257,-173.436,55.5
1999-08-20T20:19:01.070Z,5.1,-21.417,-174.525,33.0
2011-07-13T07:25:16.160Z,5.2,-21.511,-174.36,10.0
1999-09-06T03:14:58.270Z,5.3,-7.067,154.727,62.4
2007-08-22T09:34:50.740Z,5.0,-7.042,154.789,49.5
1999-09-06T03:14:58.270Z,5.3,-7.067,154.727,62.4
2014-04-12T10:55:41.640Z,5.0,-6.973,154.803,14.1
1999-09-06T03:14:58.270Z,5.3,-7.067,154.727,62.4
2014-04-26T16:03:50.510Z,5.0,-7.001,154.813,35.6
1999-09-19T19:59:24.050Z,5.3,-6.816,154.609,33.0
2006-12-18T23:46:16.790Z,5.3,-6.809,154.576,61.9
1999-09-26T23:38:38.620Z,5.1,44.589,148.204,61.0
2013-11-01T16:30:14.300Z,5.2,44.631,148.18,77.7
1999-10-02T17:14:17.810Z,5.2,24.069,122.434,44.7
2010-07-18T13:03:24.500Z,5.1,24.131,122.47,26.9
1999-10-11T21:18:27.350Z,5.2,-10.854,164.801,33.0
2012-11-11T14:56:10.590Z,5.2,-10.755,164.828,25.9
2000-01-29T08:13:10.730Z,5.4,-8.633,111.137,60.7
2014-07-14T05:05:03.200Z,5.5,-8.819,111.253,52.5
2000-02-19T19:31:37.360Z,5.4,49.656,155.859,48.2
2010-02-23T10:43:10.260Z,5.3,49.702,155.789,48.4
2000-02-24T13:32:26.280Z,5.1,51.459,-178.379,50.2
2002-08-21T17:11:14.410Z,5.1,51.476,-178.354,33.0
2000-03-16T07:11:18.510Z,5.0,-6.956,155.043,33.0
2014-04-11T10:30:28.960Z,5.1,-6.877,155.137,16.1
2000-03-21T22:36:39.780Z,5.3,-5.463,152.106,64.0
2002-01-13T16:23:30.140Z,5.1,-5.422,152.111,38.5
2000-03-21T22:36:39.780Z,5.3,-5.463,152.106,64.0
2008-06-21T07:28:44.540Z,5.1,-5.396,152.067,70.6
2000-03-29T07:47:01.210Z,5.2,-27.958,-176.458,10.0
2016-07-14T02:24:02.360Z,5.1,-27.896,-176.347,10.0
2000-04-13T13:12:53.780Z,5.4,10.28,126.552,33.0
2012-09-01T00:25:02.670Z,5.3,10.229,126.45,35.0
2000-06-05T17:43:24.020Z,5.1,-7.359,106.664,33.0
2006-03-16T05:43:09.700Z,5.0,-7.366,106.72,20.3
2000-06-05T17:43:24.020Z,5.1,-7.359,106.664,33.0
2012-11-10T06:05:27.190Z,5.1,-7.373,106.666,49.5
2000-06-09T06:47:32.180Z,5.1,-5.013,102.723,33.0
2001-02-14T01:39:31.490Z,5.2,-5.023,102.727,33.0
2000-06-14T14:11:07.350Z,5.5,46.64,152.587,33.0
2012-05-23T20:25:58.200Z,5.3,46.66,152.557,34.0
2000-06-14T14:11:07.350Z,5.5,46.64,152.587,33.0
2015-12-13T01:52:17.690Z,5.3,46.724,152.586,56.7
2000-07-28T04:28:08.190Z,5.1,-20.679,-174.082,33.0
2008-05-15T14:06:15.330Z,5.1,-20.839,-174.062,35.0
2000-07-28T04:28:08.190Z,5.1,-20.679,-174.082,33.0
2012-11-14T07:41:53.210Z,5.2,-20.739,-174.079,10.0
2000-07-28T04:28:08.190Z,5.1,-20.679,-174.082,33.0
2016-12-13T23:51:31.140Z,5.2,-20.612,-173.631,10.0
2000-08-03T17:01:57.700Z,5.1,11.804,143.13,33.0
2010-09-28T03:15:03.030Z,5.0,11.884,143.241,10.9
2000-08-03T17:01:57.700Z,5.1,11.804,143.13,33.0
